run_id,timestamp,agent_mode,question_id,question_text,web_allowed,web_used,t_retrieval_ms,t_generation_ms,t_total_ms,tokens_in,tokens_out,retrieved_docs,cited_docs,fidelity_binary,citations_correct_ratio,em_binary
0314d5d7,2025-11-10T11:58:44.948071,A,1,Que es un kernel en aprendizaje automatico?,False,False,1274.6152877807617,2157.676935195923,3432.2922229766846,11,209,"[{""file"": ""10_SEMANA_AI_20251009_1.pdf"", ""page"": 1, ""score"": 0.0}, {""file"": ""1_Semana_AI_20250807_2.pdf"", ""page"": 2, ""score"": 0.0}, {""file"": ""1_SEMANA_AI_20250807_1.pdf"", ""page"": 1, ""score"": 0.0}]","[{""file"": ""10_SEMANA_AI_20251009_1.pdf"", ""page"": 1}, {""file"": ""1_Semana_AI_20250807_2.pdf"", ""page"": 2}, {""file"": ""1_SEMANA_AI_20250807_1.pdf"", ""page"": 1}]",1,1.0,1
0314d5d7,2025-11-10T11:58:46.565886,A,2,Cual es la formula de la similitud de coseno?,False,False,575.17409324646,590.4529094696045,1165.6270027160645,14,106,"[{""file"": ""10_SEMANA_AI_20251009_1.pdf"", ""page"": 1, ""score"": 0.0}, {""file"": ""11_Semana_AI_20251014_1.pdf"", ""page"": 0, ""score"": 0.0}, {""file"": ""10_SEMANA_AI_20251009_1.pdf"", ""page"": 2, ""score"": 0.0}]","[{""file"": ""10_SEMANA_AI_20251009_1.pdf"", ""page"": 1}, {""file"": ""11_Semana_AI_20251014_1.pdf"", ""page"": 0}, {""file"": ""10_SEMANA_AI_20251009_1.pdf"", ""page"": 2}]",1,1.0,1
0314d5d7,2025-11-10T11:58:49.893317,A,3,Como se calcula la distancia euclidiana entre dos vectores?,False,False,310.2149963378906,2540.982723236084,2851.1977195739746,14,211,"[{""file"": ""10_SEMANA_AI_20251009_1.pdf"", ""page"": 1, ""score"": 0.0}, {""file"": ""11_Semana_AI_20251014_1.pdf"", ""page"": 0, ""score"": 0.0}, {""file"": ""10_SEMANA_AI_20251009_1.pdf"", ""page"": 2, ""score"": 0.0}]","[{""file"": ""1_Semana_AI_20250807_2.pdf"", ""page"": 0}, {""file"": ""1_SEMANA_AI_20250807_1.pdf"", ""page"": 0}, {""file"": ""10_SEMANA_AI_20251009_1.pdf"", ""page"": 1}, {""file"": ""11_Semana_AI_20251014_1.pdf"", ""page"": 0}, {""file"": ""10_SEMANA_AI_20251009_1.pdf"", ""page"": 2}]",0,0.6,1
0314d5d7,2025-11-10T11:58:54.178981,A,4,"Da la forma canonica de la regresion lineal (variables, parametros y objetivo).",False,False,1223.6742973327637,2608.8006496429443,3832.474946975708,19,273,"[{""file"": ""10_SEMANA_AI_20251009_1.pdf"", ""page"": 1, ""score"": 0.0}, {""file"": ""11_Semana_AI_20251014_1.pdf"", ""page"": 0, ""score"": 0.0}, {""file"": ""4_Semana_AI_20250828_2.pdf"", ""page"": 0, ""score"": 0.0}]","[{""file"": ""1_Semana_AI_20250807_2.pdf"", ""page"": 0}, {""file"": ""1_SEMANA_AI_20250807_1.pdf"", ""page"": 0}, {""file"": ""10_SEMANA_AI_20251009_1.pdf"", ""page"": 1}, {""file"": ""11_Semana_AI_20251014_1.pdf"", ""page"": 0}, {""file"": ""4_Semana_AI_20250828_2.pdf"", ""page"": 0}]",0,0.6,1
0314d5d7,2025-11-10T11:58:57.908835,A,5,Explica brevemente descenso de gradiente y su objetivo.,False,False,312.5114440917969,2951.2383937835693,3263.749837875366,14,249,"[{""file"": ""4_SEMANA_AI_20250826_2.pdf"", ""page"": 2, ""score"": 0.0}, {""file"": ""5_Semana_AI_20250902_1.pdf"", ""page"": 0, ""score"": 0.0}, {""file"": ""4_Semana_AI_20250828_1.pdf"", ""page"": 3, ""score"": 0.0}]","[{""file"": ""10_SEMANA_AI_20251009_1.pdf"", ""page"": 1}, {""file"": ""11_Semana_AI_20251014_1.pdf"", ""page"": 0}, {""file"": ""4_SEMANA_AI_20250826_2.pdf"", ""page"": 2}, {""file"": ""5_Semana_AI_20250902_1.pdf"", ""page"": 0}, {""file"": ""4_Semana_AI_20250828_1.pdf"", ""page"": 3}]",0,0.6,1
0314d5d7,2025-11-10T11:59:00.461565,A,6,Que es backpropagation y que papel juega la regla de la cadena?,False,False,310.11199951171875,1757.5733661651611,2067.68536567688,17,229,"[{""file"": ""10_SEMANA_AI_20251007_1.pdf"", ""page"": 1, ""score"": 0.0}, {""file"": ""9_Semana_AI_20251002_2.pdf"", ""page"": 3, ""score"": 0.0}, {""file"": ""9_SEMANA_AI_20251002_1.pdf"", ""page"": 6, ""score"": 0.0}]","[{""file"": ""10_SEMANA_AI_20251009_1.pdf"", ""page"": 1}, {""file"": ""11_Semana_AI_20251014_1.pdf"", ""page"": 0}, {""file"": ""10_SEMANA_AI_20251007_1.pdf"", ""page"": 1}, {""file"": ""9_Semana_AI_20251002_2.pdf"", ""page"": 3}, {""file"": ""9_SEMANA_AI_20251002_1.pdf"", ""page"": 6}]",0,0.6,1
0314d5d7,2025-11-10T11:59:05.007144,A,7,Que supuestos tipicos se hacen en regresion lineal y por que importan?,False,False,381.70528411865234,3703.065872192383,4084.771156311035,19,284,"[{""file"": ""5_Semana_AI_20250902_1.pdf"", ""page"": 0, ""score"": 0.0}, {""file"": ""5_Semana_AI_20250904_1.pdf"", ""page"": 0, ""score"": 0.0}, {""file"": ""4_Semana_AI_20250828_1.pdf"", ""page"": 3, ""score"": 0.0}]","[{""file"": ""10_SEMANA_AI_20251007_1.pdf"", ""page"": 1}, {""file"": ""9_Semana_AI_20251002_2.pdf"", ""page"": 3}, {""file"": ""9_SEMANA_AI_20251002_1.pdf"", ""page"": 6}, {""file"": ""5_Semana_AI_20250902_1.pdf"", ""page"": 0}, {""file"": ""5_Semana_AI_20250904_1.pdf"", ""page"": 0}, {""file"": ""4_Semana_AI_20250828_1.pdf"", ""page"": 3}]",0,0.5,1
0314d5d7,2025-11-10T11:59:07.028430,A,8,Menciona dos riesgos comunes de usar RAG y como mitigarlos.,False,False,638.1988525390625,928.2393455505371,1566.4381980895996,18,113,"[{""file"": ""7_Semana_AI_20250916_2.pdf"", ""page"": 0, ""score"": 0.0}, {""file"": ""4_Semana_AI_20250828_1.pdf"", ""page"": 3, ""score"": 0.0}, {""file"": ""5_Semana_AI_20250904_1.pdf"", ""page"": 0, ""score"": 0.0}]","[{""file"": ""7_Semana_AI_20250916_2.pdf"", ""page"": 0}, {""file"": ""4_Semana_AI_20250828_1.pdf"", ""page"": 3}, {""file"": ""5_Semana_AI_20250904_1.pdf"", ""page"": 0}]",1,1.0,1
0314d5d7,2025-11-10T11:59:09.977282,A,9,Da un ejemplo donde coseno y euclidiana ordenen distinto un par de vectores.,False,False,338.2422924041748,2126.8391609191895,2465.0814533233643,20,114,"[{""file"": ""7_Semana_AI_20250916_2.pdf"", ""page"": 0, ""score"": 0.0}, {""file"": ""10_SEMANA_AI_20251007_1.pdf"", ""page"": 1, ""score"": 0.0}, {""file"": ""5_Semana_AI_20250904_1.pdf"", ""page"": 0, ""score"": 0.0}]","[{""file"": ""7_Semana_AI_20250916_2.pdf"", ""page"": 0}, {""file"": ""10_SEMANA_AI_20251007_1.pdf"", ""page"": 1}, {""file"": ""5_Semana_AI_20250904_1.pdf"", ""page"": 0}]",1,1.0,1
0314d5d7,2025-11-10T11:59:13.465797,A,10,Cita textualmente una definicion corta de espacio de caracteristicas (archivo y pagina).,False,False,1220.8664417266846,1794.062614440918,3014.9290561676025,20,186,"[{""file"": ""5_Semana_AI_20250904_1.pdf"", ""page"": 0, ""score"": 0.0}, {""file"": ""7_Semana_AI_20250916_2.pdf"", ""page"": 0, ""score"": 0.0}, {""file"": ""7_Semana_AI_20250916_2.pdf"", ""page"": 0, ""score"": 0.0}]","[{""file"": ""7_Semana_AI_20250916_2.pdf"", ""page"": 0}, {""file"": ""10_SEMANA_AI_20251007_1.pdf"", ""page"": 1}, {""file"": ""5_Semana_AI_20250904_1.pdf"", ""page"": 0}, {""file"": ""5_Semana_AI_20250904_1.pdf"", ""page"": 0}, {""file"": ""7_Semana_AI_20250916_2.pdf"", ""page"": 0}, {""file"": ""7_Semana_AI_20250916_2.pdf"", ""page"": 0}]",0,0.8333333333333334,1
